Ferak orthoferavirus;Orthoferavirus;Unassigned;Feraviridae;Bunyavirales;ssRNA(-)
Pseudomonas virus PaMx28;Pamx74virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Pseudomonas virus PaMx74;Pamx74virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Patience;Patiencevirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus PBI1;Pbi1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Rhodococcus virus Pepy6;Pepy6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Rhodococcus virus Poco6;Pepy6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptomyces virus phiBT1;Phic31virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptomyces virus phiC31;Phic31virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptomyces virus TG1;Phic31virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Caulobacter virus Karma;Phicbkvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Caulobacter virus Magneto;Phicbkvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Caulobacter virus phiCbK;Phicbkvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Caulobacter virus Rogue;Phicbkvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Caulobacter virus Swift;Phicbkvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 11;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 29;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 37;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 53;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 55;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 69;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 71;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 80;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 85;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 88;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 92;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 96;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 187;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 52a;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus 80alpha;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus CNPH82;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus EW;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus IPLA5;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus IPLA7;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus IPLA88;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus PH15;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus phiETA;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus phiETA2;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus phiETA3;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus phiMR11;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus phiMR25;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus phiNM1;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus phiNM2;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus phiNM4;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus SAP26;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
